name,value
Pamela Stănescu,6
Teohari Dumitrescu,5
Sever Niță,4
Dalia Ababei,4
Benone Dochioiu,4
Costel Dima,4
Geta Nemeș,4
Roberta Georgescu,4
Venera Dima,4
Ariadna Suciu,4
Profira Ardelean,4
Camelia Stănescu,4
Aurelia Ardelean,4
Costache Ene,4
Emilia Pușcașu,4
Ariana Dobre,4
Maricica Dochioiu,4
Anemona Florea,4
Mihaela Tabacu,4
Ecaterina Dinu,4
Timea Ardelean,4
Pamela Dima,4
Petru Popescu,4
Leana Cristea,4
Nicu Mocanu,4
Svetlana Nistor,4
Luiza Ababei,4
Raul Dobre,4
Florin Oprea,3
Ducu Gheorghiu,3
Caterina Dima,3
Casandra Dumitrescu,3
Augustin Tudor,3
Ladislau Barbu,3
Anatolie Dochioiu,3
Raluca Tabacu,3
Sonia Florea,3
Veta Gheorghiu,3
Marta Stan,3
Bebe Dima,3
Gabi Ene,3
Carol Nistor,3
Carmen Popescu,3
Rada Preda,3
Astrid Stan,3
Daciana Pușcașu,3
Simina Stoica,3
Roxana Nemeș,3
Augustina Dochioiu,3
Matilda Nistor,3
Nichifor Ionescu,3
Zoe Dochioiu,3
Panait Nistor,3
Nicolae Mocanu,3
Dorin Mazilescu,3
Robert Suciu,3
Ieremia Tomescu,3
Crin Dumitrescu,3
Casian Tomescu,3
Marga Popescu,3
Edmond Mocanu,3
Laura Ababei,3
Julia Dima,3
Ecaterina Toma,3
Olimpiu Preda,3
Gențiana Barbu,3
Jasmina Mocanu,3
Casandra Georgescu,3
Aurelian Ene,3
Anabela Popescu,3
Salomea Diaconescu,3
Sinică Stoica,3
Carol Tudor,3
Adelin Dumitrescu,3
Julieta Popescu,3
Beniamin Stănescu,3
Pleșu Diaconescu,3
Emanoil Aanei,3
Aura Dinu,3
Aida Stancu,3
Raluca Stancu,3
Gherghina Niță,3
Ivona Ene,3
Andrei Popescu,2
Lazăr Preda,2
Adelaida Nistor,2
Petrică Nistor,2
Daniel Ardelean,2
Mitică Barbu,2
Marioara Cristea,2
Iosif Nistor,2
Anatolie Barbu,2
Elisabeta Ioniță,2
Angela Nistor,2
Vera Dobre,2
Dimitrina Tudor,2
Adela Mocanu,2
Olga Stănescu,2
Mădălin Marin,2
